Accession,Coreceptor
AF034380,CXCR4
AF034381,CXCR4
AF034382,CXCR4
AF034383,CXCR4
AF034384,CXCR4
AF034385,CXCR4
AF035534,CXCR4
AF062011,CCR5
AF062013,CCR5
AF062014,CCR5
AF062015,CCR5
AF062016,CCR5
AF062017,CCR5
AF062020,CCR5
AF062021,CCR5
AF062022,CCR5
AF062023,CCR5
AF062026,CCR5
AF062030,CCR5
AF062032,CCR5
AF063223,CCR5
AF067154,CCR5
AF067157,CCR5
AF067158,CCR5
AF069669,CCR5
AF069670,CCR5
AF069671,CCR5
AF069672,CXCR4
AF069673,CCR5
AF071474,CCR5
AF075720,CXCR4
AF075721,CXCR4
AF075722,CXCR4
AF082354,CCR5
AF082360,CCR5
AF082361,CCR5
AF082372,CCR5
AF082379,CCR5
AF082381,CCR5
AF082382,CCR5
AF082384,CCR5
AF082390,CXCR4
AF082837,CCR5
AF082840,CCR5
AF107770,CCR5
AF112542,CCR5
AF112548,CCR5
AF112563,CCR5
AF112565,CCR5
AF128126,CCR5
AF146728,CXCR4
AF153129,CCR5
AF153130,CCR5
AF153131,CCR5
AF153132,CCR5
AF153133,CCR5
AF153134,CCR5
AF153135,CCR5
AF153136,CCR5
AF153137,CCR5
AF153138,CCR5
AF153139,CCR5
AF153140,CCR5
AF153141,CCR5
AF153142,CCR5
AF153143,CCR5
AF153144,CCR5
AF153145,CCR5
AF153146,CCR5
AF153147,CCR5
AF153148,CCR5
AF153149,CCR5
AF153150,CCR5
AF153151,CCR5
AF153152,CCR5
AF153153,CCR5
AF153154,CCR5
AF153155,CCR5
AF153156,CCR5
AF153157,CCR5
AF153158,CCR5
AF153159,CCR5
AF153160,CCR5
AF153161,CCR5
AF153162,CCR5
AF153163,CCR5
AF153164,CCR5
AF153165,CCR5
AF153166,CCR5
AF153167,CCR5
AF153168,CCR5
AF153169,CCR5
AF153170,CCR5
AF153171,CCR5
AF153172,CCR5
AF153173,CCR5
AF153174,CCR5
AF153175,CCR5
AF153176,CCR5
AF153177,CCR5
AF153178,CCR5
AF153179,CCR5
AF153180,CCR5
AF153181,CCR5
AF153182,CCR5
AF153183,CCR5
AF153184,CCR5
AF153185,CCR5
AF153186,CCR5
AF153187,CCR5
AF153188,CCR5
AF153189,CCR5
AF153190,CCR5
AF180898,CCR5
AF180899,CCR5
AF180900,CCR5
AF180901,CCR5
AF180902,CCR5
AF180903,CXCR4
AF180904,CCR5
AF180905,CXCR4
AF180906,CCR5
AF180907,CCR5
AF180908,CCR5
AF180909,CCR5
AF180910,CCR5
AF180913,CCR5
AF180915,CXCR4
AF184155,CCR5
AF189159,CXCR4
AF194975,CCR5
AF194976,CCR5
AF194977,CCR5
AF194978,CCR5
AF194979,CCR5
AF199032,CCR5
AF199033,CCR5
AF199034,CCR5
AF199035,CCR5
AF199036,CCR5
AF199037,CCR5
AF199038,CCR5
AF199039,CCR5
AF199040,CCR5
AF199041,CCR5
AF231042,CCR5
AF231045,CCR5
AF254766,CCR5
AF254767,CCR5
AF254768,CCR5
AF254769,CCR5
AF254771,CCR5
AF254772,CCR5
AF254773,CCR5
AF254774,CCR5
AF254775,CCR5
AF254776,CCR5
AF254777,CCR5
AF254778,CCR5
AF254779,CCR5
AF254781,CCR5
AF254782,CCR5
AF254783,CCR5
AF258957,CCR5
AF258958,CCR5
AF258959,CCR5
AF258960,CCR5
AF258961,CCR5
AF258962,CCR5
AF258963,CCR5
AF258964,CCR5
AF258965,CCR5
AF258966,CCR5
AF258967,CCR5
AF258968,CCR5
AF258969,CCR5
AF258971,CCR5
AF258972,CCR5
AF258973,CCR5
AF258974,CCR5
AF258975,CCR5
AF258976,CCR5
AF258977,CCR5
AF258979,CCR5
AF258980,CCR5
AF258981,CXCR4
AF258982,CCR5
AF258983,CCR5
AF258984,CXCR4
AF258985,CXCR4
AF258986,CCR5
AF258988,CXCR4
AF258989,CXCR4
AF258991,CXCR4
AF258992,CCR5
AF258993,CCR5
AF258994,CCR5
AF258996,CCR5
AF258997,CCR5
AF258999,CXCR4
AF259003,CXCR4
AF259006,CCR5
AF259007,CXCR4
AF259009,CXCR4
AF259010,CCR5
AF259011,CCR5
AF259012,CCR5
AF259013,CCR5
AF259014,CCR5
AF259015,CCR5
AF259016,CCR5
AF259017,CCR5
AF259018,CCR5
AF259020,CCR5
AF259022,CCR5
AF259023,CCR5
AF259024,CCR5
AF259027,CCR5
AF259028,CCR5
AF259029,CCR5
AF259030,CCR5
AF259031,CCR5
AF259032,CXCR4
AF259033,CXCR4
AF259034,CXCR4
AF259035,CCR5
AF259036,CCR5
AF259037,CCR5
AF259038,CCR5
AF259044,CCR5
AF259045,CCR5
AF259046,CCR5
AF259047,CCR5
AF259048,CCR5
AF259049,CXCR4
AF259050,CXCR4
AF259052,CXCR4
AF259954,CCR5
AF259955,CCR5
AF268277,CCR5
AF286227,CCR5
AF286229,CCR5
AF286232,CCR5
AF286234,CCR5
AF286235,CCR5
AF307749,CXCR4
AF307750,CCR5
AF307751,CCR5
AF307752,CCR5
AF307753,CCR5
AF307754,CCR5
AF307755,CCR5
AF307756,CCR5
AF307757,CCR5
AF307758,CXCR4
AF310108,CCR5
AF310109,CCR5
AF310110,CCR5
AF310111,CCR5
AF310112,CCR5
AF310113,CCR5
AF310114,CCR5
AF310115,CCR5
AF310119,CCR5
AF310120,CCR5
AF310121,CCR5
AF310123,CCR5
AF310124,CCR5
AF310125,CCR5
AF310126,CCR5
AF310127,CCR5
AF310131,CCR5
AF310132,CXCR4
AF321523,CCR5
AF355318,CCR5
AF355319,CXCR4
AF355320,CXCR4
AF355321,CCR5
AF355322,CCR5
AF355323,CCR5
AF355324,CCR5
AF355325,CCR5
AF355326,CCR5
AF355327,CCR5
AF355328,CCR5
AF355329,CCR5
AF355330,CXCR4
AF355331,CCR5
AF355333,CCR5
AF355335,CCR5
AF355336,CXCR4
AF355631,CCR5
AF355633,CCR5
AF355634,CCR5
AF355636,CCR5
AF355637,CCR5
AF355638,CCR5
AF355641,CCR5
AF355642,CCR5
AF355643,CCR5
AF355644,CCR5
AF355658,CCR5
AF355659,CCR5
AF355660,CXCR4
AF355662,CXCR4
AF355663,CXCR4
AF355667,CXCR4
AF355679,CXCR4
AF355686,CXCR4
AF355687,CXCR4
AF355688,CXCR4
AF355689,CXCR4
AF355691,CXCR4
AF355693,CXCR4
AF355694,CXCR4
AF355695,CXCR4
AF355696,CXCR4
AF355697,CXCR4
AF355698,CXCR4
AF355700,CXCR4
AF355702,CXCR4
AF355706,CXCR4
AF355708,CXCR4
AF355709,CXCR4
AF355726,CCR5
AF355727,CCR5
AF355728,CCR5
AF355729,CCR5
AF355730,CCR5
AF355731,CCR5
AF355732,CCR5
AF355733,CXCR4
AF355734,CXCR4
AF355735,CXCR4
AF355736,CXCR4
AF355737,CXCR4
AF355738,CXCR4
AF355739,CXCR4
AF355740,CXCR4
AF355741,CXCR4
AF355742,CXCR4
AF355743,CXCR4
AF355744,CXCR4
AF355745,CXCR4
AF355746,CXCR4
AF355747,CXCR4
AF355748,CXCR4
AF384245,CCR5
AF384246,CCR5
AF384247,CCR5
AF384248,CCR5
AF384249,CCR5
AF384250,CCR5
AF384251,CCR5
AF384252,CCR5
AF384253,CCR5
AF384254,CCR5
AF384255,CCR5
AF384256,CCR5
AF384257,CCR5
AF384258,CCR5
AF384259,CCR5
AF384260,CCR5
AF384261,CCR5
AF384262,CCR5
AF384263,CCR5
AF384264,CCR5
AF384265,CCR5
AF384266,CCR5
AF384267,CCR5
AF384268,CCR5
AF384269,CCR5
AF384270,CCR5
AF384271,CCR5
AF384272,CCR5
AF384273,CCR5
AF384274,CCR5
AF384275,CCR5
AF384276,CCR5
AF384277,CCR5
AF384278,CCR5
AF384279,CCR5
AF384280,CCR5
AF384281,CCR5
AF384282,CCR5
AF384283,CCR5
AF384284,CCR5
AF384285,CCR5
AF384286,CCR5
AF384287,CCR5
AF384288,CCR5
AF384289,CCR5
AF384290,CCR5
AF384291,CCR5
AF384292,CCR5
AF384293,CCR5
AF384294,CCR5
AF384295,CCR5
AF384296,CCR5
AF384297,CCR5
AF384298,CCR5
AF384299,CCR5
AF384300,CCR5
AF384301,CCR5
AF384302,CCR5
AF384303,CCR5
AF384304,CCR5
AF384305,CCR5
AF384306,CCR5
AF384307,CCR5
AF384308,CCR5
AF384309,CCR5
AF384310,CCR5
AF384311,CCR5
AF384312,CCR5
AF384313,CCR5
AF384314,CCR5
AF384315,CCR5
AF384316,CCR5
AF384317,CCR5
AF384318,CCR5
AF384319,CCR5
AF384320,CCR5
AF384321,CCR5
AF384322,CCR5
AF384323,CCR5
AF384324,CCR5
AF384325,CCR5
AF384326,CCR5
AF384327,CCR5
AF384328,CCR5
AF384329,CCR5
AF384330,CCR5
AF384331,CCR5
AF384332,CCR5
AF384333,CCR5
AF384334,CCR5
AF384335,CCR5
AF391230,CCR5
AF391231,CCR5
AF391232,CCR5
AF391233,CCR5
AF391234,CCR5
AF391235,CCR5
AF391236,CCR5
AF391237,CCR5
AF391238,CCR5
AF391239,CCR5
AF391240,CCR5
AF391241,CCR5
AF391242,CCR5
AF391243,CCR5
AF391244,CCR5
AF391245,CCR5
AF391246,CCR5
AF391247,CCR5
AF391248,CCR5
AF391249,CCR5
AF391250,CCR5
AF391548,CXCR4
AF407160,CCR5
AF407161,CCR5
AF407162,CCR5
AF411964,CCR5
AF411965,CCR5
AF411966,CXCR4
AF457063,CCR5
AF457065,CCR5
AF457066,CCR5
AF457068,CCR5
AF457069,CCR5
AF457079,CCR5
AF457090,CCR5
AF481785,CCR5
AF484477,CCR5
AF484486,CCR5
AF484487,CCR5
AF484502,CCR5
AF484515,CCR5
AF484516,CCR5
AF484518,CCR5
AF491737,CCR5
AF491738,CCR5
AF491739,CCR5
AF491740,CCR5
AF491741,CCR5
AF491742,CCR5
AF540994,CCR5
AF540995,CCR5
AF540996,CCR5
AF540997,CCR5
AF540998,CCR5
AF540999,CCR5
AF541000,CCR5
AF541001,CCR5
AF541002,CCR5
AF541003,CCR5
AF541004,CCR5
AF541005,CCR5
AF541006,CCR5
AF541007,CCR5
AF541008,CCR5
AF541009,CCR5
AF541010,CCR5
AF541011,CCR5
AF541012,CCR5
AF541013,CCR5
AF541014,CCR5
AF541015,CCR5
AF541016,CCR5
AF541017,CCR5
AF541018,CCR5
AF541019,CCR5
AF541020,CCR5
AF541021,CCR5
AF541022,CCR5
AF541023,CCR5
AF541024,CCR5
AF541025,CCR5
AF541026,CCR5
AF541027,CCR5
AF541028,CCR5
AF541029,CCR5
AF541030,CCR5
AF541031,CCR5
AF541032,CCR5
AF541033,CCR5
AF541034,CCR5
AF541035,CCR5
AF541036,CCR5
AF541037,CCR5
AF541038,CCR5
AF541039,CCR5
AF541040,CCR5
AF541041,CCR5
AF541042,CCR5
AF541043,CCR5
AF541044,CCR5
AF541045,CCR5
AF541046,CCR5
AF541047,CCR5
AF541048,CCR5
AF541049,CCR5
AF541050,CCR5
AF541051,CCR5
AF541052,CCR5
AF541053,CCR5
AF541054,CCR5
AF541055,CCR5
AF541056,CCR5
AF541057,CCR5
AF541058,CCR5
AF541059,CCR5
AF541060,CCR5
AF541061,CCR5
AF541062,CCR5
AF541063,CCR5
AF541064,CCR5
AF541065,CCR5
AF541066,CCR5
AF541067,CCR5
AF541068,CCR5
AF541069,CCR5
AF541070,CCR5
AF541071,CCR5
AF541072,CCR5
AF541073,CCR5
AF541074,CCR5
AF541075,CCR5
AF541076,CCR5
AF541077,CCR5
AF541078,CCR5
AF541079,CCR5
AF541080,CCR5
AF541081,CCR5
AF541082,CCR5
AF541083,CCR5
AF541084,CCR5
AF541085,CCR5
AF541086,CCR5
AF541096,CCR5
AF541097,CCR5
AF541098,CCR5
AF541099,CCR5
AF541100,CCR5
AF541101,CCR5
AF541102,CCR5
AF541103,CCR5
AF541104,CCR5
AF541105,CCR5
AF541106,CCR5
AF541107,CCR5
AF541108,CCR5
AF541109,CCR5
AF541110,CCR5
AF541111,CCR5
AF541112,CCR5
AF541113,CCR5
AF541114,CCR5
AF543910,CCR5
AF543911,CCR5
AF543912,CCR5
AF543913,CCR5
AF543920,CCR5
AF544007,CCR5
AF544008,CCR5
AJ006022,CCR5
AJ418478,CCR5
AJ418479,CCR5
AJ418480,CCR5
AJ418481,CCR5
AJ418482,CCR5
AJ418483,CCR5
AJ418484,CCR5
AJ418485,CCR5
AJ418486,CCR5
AJ418487,CCR5
AJ418488,CCR5
AJ418489,CCR5
AJ418490,CCR5
AJ418491,CCR5
AJ418492,CCR5
AJ418493,CCR5
AJ418494,CCR5
AJ418495,CCR5
AJ418496,CCR5
AJ418497,CCR5
AJ418498,CCR5
AJ418499,CCR5
AJ418500,CCR5
AJ418501,CCR5
AJ418502,CCR5
AJ418503,CCR5
AJ418504,CCR5
AJ418505,CCR5
AJ418506,CCR5
AJ418507,CCR5
AJ418508,CCR5
AJ418509,CCR5
AJ418510,CCR5
AJ418511,CCR5
AJ418512,CCR5
AJ418513,CCR5
AJ418514,CCR5
AJ418515,CCR5
AJ418516,CCR5
AJ418517,CCR5
AJ418518,CCR5
AJ418519,CCR5
AJ418520,CCR5
AJ418521,CCR5
AJ418522,CCR5
AJ418523,CCR5
AJ418524,CCR5
AJ418525,CCR5
AJ418526,CCR5
AJ418527,CCR5
AJ418528,CCR5
AJ418529,CCR5
AJ418530,CCR5
AJ418531,CCR5
AJ418532,CCR5
AJ418533,CCR5
AJ418534,CCR5
AJ418535,CCR5
AJ418536,CCR5
AJ418537,CCR5
AJ418538,CCR5
AJ418539,CCR5
AJ418540,CCR5
AJ810475,CCR5
AJ810476,CCR5
AJ810477,CCR5
AJ810480,CCR5
AJ810481,CCR5
AJ810482,CXCR4
AJ810483,CXCR4
AJ810484,CXCR4
AJ888821,CXCR4
AJ888822,CXCR4
AJ888823,CCR5
AJ888824,CXCR4
AJ888825,CCR5
AJ888840,CCR5
AJ888841,CCR5
AJ888842,CCR5
AM156911,CCR5
AM156912,CXCR4
AM156913,CCR5
AM156914,CXCR4
AM156915,CXCR4
AM156916,CXCR4
AM156917,CCR5
AM156918,CCR5
AM156919,CXCR4
AM156920,CCR5
AM156921,CCR5
AM156922,CXCR4
AM262114,CCR5
AM262115,CCR5
AM262116,CCR5
AM262117,CCR5
AM262118,CCR5
AM262119,CCR5
AM262120,CCR5
AM262121,CCR5
AM262122,CCR5
AM262123,CCR5
AM262124,CCR5
AM262125,CCR5
AM262126,CCR5
AM262127,CCR5
AM262128,CCR5
AM262129,CCR5
AM262130,CCR5
AM279343,CCR5
AM279344,CXCR4
AM279345,CCR5
AM279346,CCR5
AM279347,CCR5
AM279348,CCR5
AM279349,CXCR4
AM279351,CCR5
AM279352,CCR5
AM279356,CXCR4
AM279358,CCR5
AM279360,CCR5
AM279361,CCR5
AM279362,CCR5
AM279365,CCR5
AM279367,CCR5
AM279369,CCR5
AY010759,CCR5
AY010760,CCR5
AY010761,CCR5
AY010762,CCR5
AY010763,CCR5
AY010764,CCR5
AY010765,CCR5
AY010766,CCR5
AY010767,CCR5
AY010768,CCR5
AY010769,CCR5
AY010770,CCR5
AY010771,CCR5
AY010772,CCR5
AY010773,CCR5
AY010774,CCR5
AY010775,CCR5
AY010776,CCR5
AY010777,CCR5
AY010778,CCR5
AY010779,CCR5
AY010780,CCR5
AY010781,CCR5
AY010782,CCR5
AY010783,CCR5
AY010784,CCR5
AY010785,CCR5
AY010786,CCR5
AY010787,CCR5
AY010788,CCR5
AY010789,CCR5
AY010790,CCR5
AY010791,CCR5
AY010792,CCR5
AY010793,CCR5
AY010794,CCR5
AY010795,CCR5
AY010796,CCR5
AY010797,CCR5
AY010798,CCR5
AY010799,CCR5
AY010800,CCR5
AY010801,CCR5
AY010802,CCR5
AY010803,CCR5
AY010804,CCR5
AY010805,CCR5
AY010806,CCR5
AY010807,CCR5
AY010808,CCR5
AY010809,CCR5
AY010810,CCR5
AY010811,CCR5
AY010812,CCR5
AY010813,CCR5
AY010814,CCR5
AY010815,CCR5
AY010816,CCR5
AY010817,CCR5
AY010818,CCR5
AY010819,CCR5
AY010820,CCR5
AY010821,CCR5
AY010822,CCR5
AY010823,CCR5
AY010824,CCR5
AY010825,CCR5
AY010826,CCR5
AY010827,CCR5
AY010828,CCR5
AY010829,CCR5
AY010830,CCR5
AY010831,CCR5
AY010832,CCR5
AY010833,CCR5
AY010834,CCR5
AY010835,CCR5
AY010836,CCR5
AY010837,CCR5
AY010838,CCR5
AY010839,CCR5
AY010840,CCR5
AY010841,CCR5
AY010842,CCR5
AY010843,CCR5
AY010844,CCR5
AY010845,CCR5
AY010846,CCR5
AY010847,CCR5
AY010848,CCR5
AY010849,CCR5
AY010850,CCR5
AY010851,CCR5
AY010852,CCR5
AY010853,CCR5
AY010854,CCR5
AY010855,CCR5
AY010856,CCR5
AY010857,CCR5
AY010858,CCR5
AY010859,CCR5
AY010860,CCR5
AY010861,CCR5
AY010862,CCR5
AY010863,CCR5
AY010864,CCR5
AY010865,CCR5
AY010866,CCR5
AY010867,CCR5
AY010868,CCR5
AY010869,CCR5
AY010870,CCR5
AY010871,CCR5
AY010872,CCR5
AY010873,CCR5
AY010874,CCR5
AY010875,CCR5
AY010876,CCR5
AY010877,CCR5
AY010878,CCR5
AY010879,CCR5
AY010880,CCR5
AY010881,CCR5
AY010882,CCR5
AY010883,CCR5
AY010884,CCR5
AY010885,CCR5
AY010886,CCR5
AY010887,CCR5
AY010888,CCR5
AY010889,CCR5
AY010890,CCR5
AY010891,CCR5
AY010892,CCR5
AY010893,CCR5
AY010894,CCR5
AY010895,CCR5
AY043173,CCR5
AY043175,CCR5
AY043176,CCR5
AY118166,CCR5
AY123254,CCR5
AY123255,CCR5
AY123256,CCR5
AY123257,CCR5
AY123258,CCR5
AY123259,CCR5
AY123260,CCR5
AY123261,CCR5
AY123262,CCR5
AY123263,CCR5
AY123264,CCR5
AY123265,CCR5
AY123266,CCR5
AY123267,CCR5
AY123268,CCR5
AY123269,CCR5
AY123270,CCR5
AY123271,CCR5
AY123272,CCR5
AY123273,CCR5
AY123274,CCR5
AY123275,CCR5
AY123276,CCR5
AY123277,CCR5
AY123278,CCR5
AY123279,CCR5
AY123280,CCR5
AY123281,CCR5
AY123282,CCR5
AY124975,CCR5
AY124977,CCR5
AY124978,CCR5
AY124979,CCR5
AY158533,CCR5
AY158534,CCR5
AY158535,CCR5
AY159664,CCR5
AY170657,CCR5
AY170658,CCR5
AY170659,CCR5
AY170660,CCR5
AY170661,CCR5
AY170662,CCR5
AY170663,CCR5
AY170664,CCR5
AY170665,CCR5
AY170666,CCR5
AY170667,CCR5
AY173951,CXCR4
AY173952,CCR5
AY173955,CCR5
AY173956,CXCR4
AY189526,CXCR4
AY228556,CCR5
AY230878,CXCR4
AY253304,CCR5
AY253308,CCR5
AY253322,CCR5
AY255825,CCR5
AY265948,CXCR4
AY265949,CXCR4
AY271690,CXCR4
AY288084,CCR5
AY288085,CCR5
AY288086,CCR5
AY288087,CCR5
AY304496,CCR5
AY352656,CCR5
AY371122,CCR5
AY371123,CCR5
AY371124,CCR5
AY371125,CCR5
AY371126,CCR5
AY371127,CCR5
AY371128,CCR5
AY371138,CCR5
AY372219,CCR5
AY372221,CCR5
AY372224,CCR5
AY372225,CCR5
AY372226,CCR5
AY372227,CCR5
AY372231,CCR5
AY372236,CCR5
AY372237,CCR5
AY426110,CCR5
AY426111,CCR5
AY426112,CCR5
AY426113,CCR5
AY426114,CCR5
AY426115,CCR5
AY426116,CCR5
AY426117,CCR5
AY426118,CCR5
AY444801,CCR5
AY494966,CCR5
AY494967,CXCR4
AY494968,CCR5
AY505002,CCR5
AY510057,CCR5
AY510058,CCR5
AY510059,CCR5
AY510060,CCR5
AY510061,CCR5
AY510062,CCR5
AY510063,CCR5
AY510064,CCR5
AY510065,CCR5
AY510066,CCR5
AY529660,CCR5
AY529663,CCR5
AY529666,CXCR4
AY529676,CCR5
AY529678,CXCR4
AY529679,CXCR4
AY570006,CCR5
AY570011,CCR5
AY570012,CCR5
AY585270,CCR5
AY585271,CCR5
AY585281,CCR5
AY585282,CCR5
AY585283,CCR5
AY585297,CCR5
AY619730,CXCR4
AY619731,CXCR4
AY619732,CXCR4
AY619733,CXCR4
AY619734,CXCR4
AY619735,CXCR4
AY619736,CXCR4
AY619737,CXCR4
AY619738,CXCR4
AY619739,CXCR4
AY619740,CXCR4
AY619741,CXCR4
AY619742,CXCR4
AY619743,CXCR4
AY619744,CXCR4
AY619745,CXCR4
AY619746,CXCR4
AY619747,CXCR4
AY619748,CXCR4
AY619749,CXCR4
AY619750,CXCR4
AY619751,CXCR4
AY619752,CXCR4
AY619753,CXCR4
AY619754,CXCR4
AY619755,CXCR4
AY619756,CXCR4
AY619757,CXCR4
AY619758,CXCR4
AY619759,CXCR4
AY619760,CXCR4
AY619761,CXCR4
AY619762,CXCR4
AY619763,CXCR4
AY619764,CXCR4
AY619765,CXCR4
AY619766,CXCR4
AY619767,CXCR4
AY619768,CXCR4
AY619769,CXCR4
AY619770,CXCR4
AY619771,CXCR4
AY619772,CXCR4
AY619773,CXCR4
AY619774,CXCR4
AY619775,CXCR4
AY619776,CXCR4
AY619777,CCR5
AY619797,CXCR4
AY619798,CXCR4
AY619799,CXCR4
AY619800,CXCR4
AY619801,CXCR4
AY619802,CXCR4
AY619803,CXCR4
AY619804,CXCR4
AY619805,CXCR4
AY619806,CXCR4
AY619807,CXCR4
AY619808,CXCR4
AY619809,CXCR4
AY619810,CXCR4
AY619811,CXCR4
AY619812,CCR5
AY619813,CXCR4
AY619815,CXCR4
AY619816,CXCR4
AY619817,CCR5
AY619818,CXCR4
AY619819,CXCR4
AY619820,CXCR4
AY619821,CXCR4
AY619822,CXCR4
AY619823,CXCR4
AY619824,CXCR4
AY619825,CXCR4
AY619826,CXCR4
AY619827,CXCR4
AY619828,CXCR4
AY619829,CXCR4
AY619830,CXCR4
AY619831,CXCR4
AY619832,CXCR4
AY619833,CXCR4
AY619834,CXCR4
AY619835,CXCR4
AY619836,CXCR4
AY619837,CXCR4
AY619838,CXCR4
AY619839,CXCR4
AY619840,CXCR4
AY619841,CXCR4
AY619842,CXCR4
AY619843,CXCR4
AY619844,CXCR4
AY619845,CXCR4
AY619846,CXCR4
AY619847,CXCR4
AY619848,CXCR4
AY619849,CXCR4
AY619850,CXCR4
AY619851,CXCR4
AY619852,CXCR4
AY619853,CXCR4
AY619854,CXCR4
AY619855,CXCR4
AY619856,CXCR4
AY619857,CXCR4
AY619858,CXCR4
AY619859,CXCR4
AY619860,CXCR4
AY619861,CXCR4
AY619862,CXCR4
AY619863,CXCR4
AY619864,CXCR4
AY619865,CXCR4
AY619866,CXCR4
AY619867,CXCR4
AY619868,CXCR4
AY619869,CXCR4
AY619870,CXCR4
AY619871,CXCR4
AY619872,CXCR4
AY619873,CXCR4
AY619874,CXCR4
AY619880,CXCR4
AY619881,CXCR4
AY619882,CXCR4
AY619883,CXCR4
AY619884,CXCR4
AY619885,CXCR4
AY619886,CXCR4
AY619887,CXCR4
AY619888,CXCR4
AY619889,CXCR4
AY619899,CXCR4
AY619900,CXCR4
AY619901,CXCR4
AY619902,CXCR4
AY619903,CXCR4
AY619904,CXCR4
AY619908,CXCR4
AY619912,CXCR4
AY619914,CXCR4
AY619915,CXCR4
AY619916,CXCR4
AY619917,CXCR4
AY619929,CCR5
AY619931,CXCR4
AY623599,CXCR4
AY623600,CXCR4
AY669702,CCR5
AY669706,CCR5
AY669709,CCR5
AY669711,CCR5
AY669713,CCR5
AY669715,CCR5
AY669725,CCR5
AY669726,CCR5
AY669728,CCR5
AY669732,CCR5
AY669735,CXCR4
AY669736,CCR5
AY669739,CCR5
AY669741,CCR5
AY669742,CCR5
AY669745,CCR5
AY669748,CCR5
AY669749,CCR5
AY669750,CCR5
AY669751,CCR5
AY669752,CCR5
AY669753,CXCR4
AY669755,CCR5
AY669756,CXCR4
AY669757,CXCR4
AY669758,CCR5
AY669759,CXCR4
AY669760,CXCR4
AY669768,CCR5
AY669770,CCR5
AY669773,CCR5
AY669775,CCR5
AY669776,CCR5
AY669779,CXCR4
AY713407,CXCR4
AY713408,CCR5
AY713409,CCR5
AY713410,CCR5
AY713411,CCR5
AY713412,CCR5
AY713413,CCR5
AY713414,CCR5
AY713415,CCR5
AY713416,CCR5
AY713417,CCR5
AY713418,CXCR4
AY713419,CXCR4
AY713421,CCR5
AY713422,CCR5
AY713423,CXCR4
AY713424,CXCR4
AY713425,CCR5
AY713426,CCR5
AY736810,CCR5
AY736811,CCR5
AY736812,CCR5
AY736813,CCR5
AY736814,CCR5
AY736815,CCR5
AY736816,CCR5
AY736817,CCR5
AY736818,CCR5
AY736819,CXCR4
AY736820,CXCR4
AY736821,CXCR4
AY736822,CCR5
AY736823,CCR5
AY736824,CCR5
AY736825,CCR5
AY736826,CCR5
AY736827,CCR5
AY736828,CCR5
AY736829,CCR5
AY736830,CCR5
AY736831,CCR5
AY736832,CCR5
AY736833,CCR5
AY736834,CCR5
AY736835,CCR5
AY736837,CCR5
AY736838,CCR5
AY736839,CCR5
AY736840,CCR5
AY736841,CCR5
AY736842,CCR5
AY736843,CCR5
AY736844,CCR5
AY736845,CCR5
AY736846,CCR5
AY736847,CCR5
AY736848,CCR5
AY833059,CCR5
AY833060,CCR5
AY835434,CCR5
